file: 1.jpg	Packet loss: 0%	 time delay: 0 ms		file: 1.jpg	Packet loss: 0%	 time delay: 0 ms		file: 1.jpg	Packet loss: 0%	 time delay: 0 ms			
1857358 	503 	29540000 		3047349 	1537 	15861000 		3726979 	1510 	19745000 			
1857358 	506 	29365000 		3427652 	1819 	15074000 		3567495 	1506 	18950000 			
1857358 	519 	28629000 		3427657 	1845 	14862000 		3960071 	1270 	24945000 			
1857358 	512 	29021000 		3464456 	2021 	13713000 		4163737 	1523 	21871000 			
1857358 	521 	28519000 		3255900 	1734 	15021000 		4107287 	1807 	18183000 			
1857358 	512 	29014800 		3324603 	1791 	14906200 	#DIV/0!	3905114 	1523 	20738800 			
file: 1.jpg	Packet loss: 5%	 time delay: 0 ms		file: 1.jpg	Packet loss: 5%	 time delay: 0 ms		file: 1.jpg	Packet loss: 5%	 time delay: 0 ms			
1947548 	9293 	1676000 		3699950 	2255 	13126000 		4504753 	1922 	18750000 			
1955534 	9702 	1612000 		3714706 	2351 	12640000 		6239431 	3224 	15482000 			
1955534 	10023 	1560000 		5282522 	3259 	12967000 		7598772 	4310 	14104000 			
1955534 	10324 	1515000 		6003927 	3558 	13499000 		8491843 	4627 	14682000 			
1955534 	10424 	1500000 		6725256 	3932 	13683000 		8199904 	4897 	13395000 			
1953937 	9953 	1572600 		5085272 	3071 	13183000 	#DIV/0!	7006941 	3796 	15282600 			
file: 1.jpg	Packet loss: 10%	 time delay: 0 ms		file: 1.jpg	Packet loss: 10%	 time delay: 0 ms		file: 1.jpg	Packet loss: 10%	 time delay: 0 ms			
2053710 	17390 	944000 		4001760 	2360 	13565000 		5056808 	2085 	19402000 			
2053710 	17704 	928000 		4939018 	3236 	12210000 		5645677 	3302 	13678000 			
2053710 	18106 	907000 		5137794 	3206 	12820000 		6737529 	4319 	12479000 			
2053710 	18628 	881000 		5307058 	3674 	11555000 		7125215 	4508 	12644000 			
2053710 	18620 	882000 		6622207 	4210 	12583000 		8123808 	4766 	13636000 			
